,White Men Deaths,White Men Population,Black Men Deaths,Black Men Population
< 1 year,6761,1389104,3523,341843
1-4 years,1330,5803946,576,1392263
5-9 years,813,7623788,360,1772377
10-14 years,1444,7929328,555,1782378
15-19 years,5855,8085799,2694,1730386
20-24 years,11617,8298189,5075,1797712
25-29 years,16186,8805205,6188,1978076
30-34 years,20326,8686192,6540,1755051
35-39 years,23670,8377497,6688,1505725
40-44 years,26921,7803061,7617,1373843
45-49 years,35753,7692042,9835,1293977
50-54 years,54562,7995774,13815,1276725
55-59 years,87930,8515013,21092,1286157
60-64 years ,122769,8199214,28615,1153836
65-69 years,145247,7024745,30448,864206
70-74 years,172921,5793617,28723,610734
75-79 years,184223,3861948,23808,363923
80+ years,538207,2372744,47472,217136
